"nome";"nome_sanitizado";"partido";"uf";"tipo";"espectro"
"Marangoni";"MARANGONI";"UNIÃO";"SP";"deputado";NA
"Marcel Van Hattem";"MARCEL VAN HATTEM";"NOVO";"RS";"deputado";"direita"
"Marcelo Álvaro Antônio";"MARCELO ALVARO ANTONIO";"PL";"MG";"deputado";"direita"
"Marcelo Calero";"MARCELO CALERO";"PSD";"RJ";"deputado";"centro"
"Marcelo Crivella";"MARCELO CRIVELLA";"REPUBLICANOS";"RJ";"deputado";NA
"Marcelo Moraes";"MARCELO MORAES";"PL";"RS";"deputado";"direita"
"Marcelo Queiroz";"MARCELO QUEIROZ";"PP";"RJ";"deputado";"centro-direita"
"Marcio Alvino";"MARCIO ALVINO";"PL";"SP";"deputado";"direita"
"Márcio Biolchi";"MARCIO BIOLCHI";"MDB";"RS";"deputado";"centro"
"Márcio Honaiser";"MARCIO HONAISER";"PDT";"MA";"deputado";"centro-esquerda"
"Márcio Jerry";"MARCIO JERRY";"PCdoB";"MA";"deputado";"esquerda"
"Márcio Marinho";"MARCIO MARINHO";"REPUBLICANOS";"BA";"deputado";NA
"Marco Brasil";"MARCO BRASIL";"PP";"PR";"deputado";"centro-direita"
"Marcon";"MARCON";"PT";"RS";"deputado";"esquerda"
"Marcos Aurélio Sampaio";"MARCOS AURELIO SAMPAIO";"PSD";"PI";"deputado";"centro"
"Marcos Pereira";"MARCOS PEREIRA";"REPUBLICANOS";"SP";"deputado";NA
"Marcos Pollon";"MARCOS POLLON";"PL";"MS";"deputado";"direita"
"Marcos Soares";"MARCOS SOARES";"UNIÃO";"RJ";"deputado";NA
"Marcos Tavares";"MARCOS TAVARES";"PDT";"RJ";"deputado";"centro-esquerda"
"Maria Arraes";"MARIA ARRAES";"SOLIDARIEDADE";"PE";"deputado";NA
"Maria Do Rosário";"MARIA ROSARIO";"PT";"RS";"deputado";"esquerda"
"Maria Rosas";"MARIA ROSAS";"REPUBLICANOS";"SP";"deputado";NA
"Mario Frias";"MARIO FRIAS";"PL";"SP";"deputado";"direita"
"Mário Heringer";"MARIO HERINGER";"PDT";"MG";"deputado";"centro-esquerda"
"Mário Negromonte Jr.";"MARIO NEGROMONTE";"PP";"BA";"deputado";"centro-direita"
"Marreca Filho";"MARRECA FILHO";"PRD";"MA";"deputado";NA
"Marussa Boldrin";"MARUSSA BOLDRIN";"MDB";"GO";"deputado";"centro"
"Marx Beltrão";"MARX BELTRAO";"PP";"AL";"deputado";"centro-direita"
"Matheus Noronha";"MATHEUS NORONHA";"PL";"CE";"deputado";"direita"
"Maurício Carvalho";"MAURICIO CARVALHO";"UNIÃO";"RO";"deputado";NA
"Mauricio Do Vôlei";"MAURICIO VOLEI";"PL";"MG";"deputado";"direita"
"Mauricio Marcon";"MAURICIO MARCON";"PODE";"RS";"deputado";"não classificado"
"Mauricio Neves";"MAURICIO NEVES";"PP";"SP";"deputado";"centro-direita"
"Mauro Benevides Filho";"MAURO BENEVIDES FILHO";"PDT";"CE";"deputado";"centro-esquerda"
"Max Lemos";"MAX LEMOS";"PDT";"RJ";"deputado";"centro-esquerda"
"Meire Serafim";"MEIRE SERAFIM";"UNIÃO";"AC";"deputado";NA
"Mendonça Filho";"MENDONCA FILHO";"UNIÃO";"PE";"deputado";NA
"Merlong Solano";"MERLONG SOLANO";"PT";"PI";"deputado";"esquerda"
"Mersinho Lucena";"MERSINHO LUCENA";"PP";"PB";"deputado";"centro-direita"
"Messias Donato";"MESSIAS DONATO";"REPUBLICANOS";"ES";"deputado";NA
"Miguel Ângelo";"MIGUEL ANGELO";"PT";"MG";"deputado";"esquerda"
"Miguel Lombardi";"MIGUEL LOMBARDI";"PL";"SP";"deputado";"direita"
"Misael Varella";"MISAEL VARELLA";"PSD";"MG";"deputado";"centro"
"Moses Rodrigues";"MOSES RODRIGUES";"UNIÃO";"CE";"deputado";NA
"Murillo Gouvea";"MURILLO GOUVEA";"UNIÃO";"RJ";"deputado";NA
"Murilo Galdino";"MURILO GALDINO";"REPUBLICANOS";"PB";"deputado";NA
"Natália Bonavides";"NATALIA BONAVIDES";"PT";"RN";"deputado";"esquerda"
"Nelson Barbudo";"NELSON BARBUDO";"PL";"MT";"deputado";"direita"
"Nely Aquino";"NELY AQUINO";"PODE";"MG";"deputado";"não classificado"
"Neto Carletto";"NETO CARLETTO";"PP";"BA";"deputado";"centro-direita"
"Newton Cardoso Jr";"NEWTON CARDOSO";"MDB";"MG";"deputado";"centro"
"Nicoletti";"NICOLETTI";"UNIÃO";"RR";"deputado";NA
"Nikolas Ferreira";"NIKOLAS FERREIRA";"PL";"MG";"deputado";"direita"
"Nilto Tatto";"NILTO TATTO";"PT";"SP";"deputado";"esquerda"
"Nitinho";"NITINHO";"PSD";"SE";"deputado";"centro"
"Odair Cunha";"ODAIR CUNHA";"PT";"MG";"deputado";"esquerda"
"Olival Marques";"OLIVAL MARQUES";"MDB";"PA";"deputado";"centro"
"Orlando Silva";"ORLANDO SILVA";"PCdoB";"SP";"deputado";"esquerda"
"Osmar Terra";"OSMAR TERRA";"MDB";"RS";"deputado";"centro"
"Ossesio Silva";"OSSESIO SILVA";"REPUBLICANOS";"PE";"deputado";NA
"Otoni De Paula";"OTONI PAULA";"MDB";"RJ";"deputado";"centro"
"Otto Alencar Filho";"OTTO ALENCAR FILHO";"PSD";"BA";"deputado";"centro"
"Padovani";"PADOVANI";"UNIÃO";"PR";"deputado";NA
"Padre João";"PADRE JOAO";"PT";"MG";"deputado";"esquerda"
"Pastor Claudio Mariano";"CLAUDIO MARIANO";"UNIÃO";"PA";"deputado";NA
"Pastor Diniz";"DINIZ";"UNIÃO";"RR";"deputado";NA
"Pastor Eurico";"EURICO";"PL";"PE";"deputado";"direita"
"Pastor Gil";"GIL";"PL";"MA";"deputado";"direita"
"Pastor Henrique Vieira";"HENRIQUE VIEIRA";"PSOL";"RJ";"deputado";"esquerda"
"Pastor Sargento Isidório";"ISIDORIO";"AVANTE";"BA";"deputado";NA
"Patrus Ananias";"PATRUS ANANIAS";"PT";"MG";"deputado";"esquerda"
"Pauderney Avelino";"PAUDERNEY AVELINO";"UNIÃO";"AM";"deputado";NA
"Paulão";"PAULAO";"PT";"AL";"deputado";"esquerda"
"Paulinho Da Força";"PAULINHO FORCA";"SOLIDARIEDADE";"SP";"deputado";NA
"Paulo Abi-Ackel";"PAULO ABI-ACKEL";"PSDB";"MG";"deputado";"centro"
"Paulo Alexandre Barbosa";"PAULO ALEXANDRE BARBOSA";"PSDB";"SP";"deputado";"centro"
"Paulo Azi";"PAULO AZI";"UNIÃO";"BA";"deputado";NA
"Paulo Folletto";"PAULO FOLLETTO";"PSB";"ES";"deputado";"centro-esquerda"
"Paulo Freire Costa";"PAULO FREIRE COSTA";"PL";"SP";"deputado";"direita"
"Paulo Guedes";"PAULO GUEDES";"PT";"MG";"deputado";"esquerda"
"Paulo Litro";"PAULO LITRO";"PSD";"PR";"deputado";"centro"
"Paulo Magalhães";"PAULO MAGALHAES";"PSD";"BA";"deputado";"centro"
"Pedro Aihara";"PEDRO AIHARA";"PRD";"MG";"deputado";NA
"Pedro Campos";"PEDRO CAMPOS";"PSB";"PE";"deputado";"centro-esquerda"
"Pedro Lucas Fernandes";"PEDRO LUCAS FERNANDES";"UNIÃO";"MA";"deputado";NA
"Pedro Lupion";"PEDRO LUPION";"PP";"PR";"deputado";"centro-direita"
"Pedro Paulo";"PEDRO PAULO";"PSD";"RJ";"deputado";"centro"
"Pedro Uczai";"PEDRO UCZAI";"PT";"SC";"deputado";"esquerda"
"Pedro Westphalen";"PEDRO WESTPHALEN";"PP";"RS";"deputado";"centro-direita"
"Pezenti";"PEZENTI";"MDB";"SC";"deputado";"centro"
"Pinheirinho";"PINHEIRINHO";"PP";"MG";"deputado";"centro-direita"
"Pompeo De Mattos";"POMPEO MATTOS";"PDT";"RS";"deputado";"centro-esquerda"
"Pr. Marco Feliciano";"MARCO FELICIANO";"PL";"SP";"deputado";"direita"
"Prof. Reginaldo Veras";"REGINALDO VERAS";"PV";"DF";"deputado";"centro-esquerda"
"Professor Alcides";"ALCIDES";"PL";"GO";"deputado";"direita"
"Professora Goreth";"GORETH";"PDT";"AP";"deputado";"centro-esquerda"
"Professora Luciene Cavalcante";"LUCIENE CAVALCANTE";"PSOL";"SP";"deputado";"esquerda"
"Rafael Brito";"RAFAEL BRITO";"MDB";"AL";"deputado";"centro"
"Rafael Prudente";"RAFAEL PRUDENTE";"MDB";"DF";"deputado";"centro"
"Rafael Simoes";"RAFAEL SIMOES";"UNIÃO";"MG";"deputado";NA
"Raimundo Costa";"RAIMUNDO COSTA";"PODE";"BA";"deputado";"não classificado"
"Raimundo Santos";"RAIMUNDO SANTOS";"PSD";"PA";"deputado";"centro"
"Reginaldo Lopes";"REGINALDO LOPES";"PT";"MG";"deputado";"esquerda"
"Reginete Bispo";"REGINETE BISPO";"PT";"RS";"deputado";"esquerda"
"Reimont";"REIMONT";"PT";"RJ";"deputado";"esquerda"
"Reinhold Stephanes";"REINHOLD STEPHANES";"PSD";"PR";"deputado";"centro"
"Renata Abreu";"RENATA ABREU";"PODE";"SP";"deputado";"não classificado"
"Renilce Nicodemos";"RENILCE NICODEMOS";"MDB";"PA";"deputado";"centro"
"Renildo Calheiros";"RENILDO CALHEIROS";"PCdoB";"PE";"deputado";"esquerda"
"Ribamar Silva";"RIBAMAR SILVA";"PSD";"SP";"deputado";"centro"
"Ricardo Ayres";"RICARDO AYRES";"REPUBLICANOS";"TO";"deputado";NA
"Ricardo Guidi";"RICARDO GUIDI";"PL";"SC";"deputado";"direita"
"Ricardo Maia";"RICARDO MAIA";"MDB";"BA";"deputado";"centro"
"Ricardo Salles";"RICARDO SALLES";"NOVO";"SP";"deputado";"direita"
"Robério Monteiro";"ROBERIO MONTEIRO";"PDT";"CE";"deputado";"centro-esquerda"
"Roberta Roma";"ROBERTA ROMA";"PL";"BA";"deputado";"direita"
"Roberto Duarte";"ROBERTO DUARTE";"REPUBLICANOS";"AC";"deputado";NA
"Roberto Monteiro Pai";"ROBERTO MONTEIRO PAI";"PL";"RJ";"deputado";"direita"
"Robinson Faria";"ROBINSON FARIA";"PL";"RN";"deputado";"direita"
"Rodolfo Nogueira";"RODOLFO NOGUEIRA";"PL";"MS";"deputado";"direita"
"Rodrigo Da Zaeli";"RODRIGO ZAELI";"PL";"MT";"deputado";"direita"
"Rodrigo De Castro";"RODRIGO CASTRO";"UNIÃO";"MG";"deputado";NA
"Rodrigo Estacho";"RODRIGO ESTACHO";"PSD";"PR";"deputado";"centro"
"Rodrigo Gambale";"RODRIGO GAMBALE";"PODE";"SP";"deputado";"não classificado"
"Rodrigo Valadares";"RODRIGO VALADARES";"UNIÃO";"SE";"deputado";NA
"Rogéria Santos";"ROGERIA SANTOS";"REPUBLICANOS";"BA";"deputado";NA
"Rogério Correia";"ROGERIO CORREIA";"PT";"MG";"deputado";"esquerda"
"Romero Rodrigues";"ROMERO RODRIGUES";"PODE";"PB";"deputado";"não classificado"
"Ronaldo Nogueira";"RONALDO NOGUEIRA";"REPUBLICANOS";"RS";"deputado";NA
"Rosana Valle";"ROSANA VALLE";"PL";"SP";"deputado";"direita"
"Rosangela Moro";"ROSANGELA MORO";"UNIÃO";"SP";"deputado";NA
"Rosângela Reis";"ROSANGELA REIS";"PL";"MG";"deputado";"direita"
"Roseana Sarney";"ROSEANA SARNEY";"MDB";"MA";"deputado";"centro"
"Rubens Otoni";"RUBENS OTONI";"PT";"GO";"deputado";"esquerda"
"Rubens Pereira Júnior";"RUBENS PEREIRA";"PT";"MA";"deputado";"esquerda"
"Rui Falcão";"RUI FALCAO";"PT";"SP";"deputado";"esquerda"
"Ruy Carneiro";"RUY CARNEIRO";"PODE";"PB";"deputado";"não classificado"
"Sâmia Bomfim";"SAMIA BOMFIM";"PSOL";"SP";"deputado";"esquerda"
"Samuel Viana";"SAMUEL VIANA";"REPUBLICANOS";"MG";"deputado";NA
"Sanderson";"SANDERSON";"PL";"RS";"deputado";"direita"
"Sargento Fahur";"FAHUR";"PSD";"PR";"deputado";"centro"
"Sargento Gonçalves";"GONCALVES";"PL";"RN";"deputado";"direita"
"Sargento Portugal";"PORTUGAL";"PODE";"RJ";"deputado";"não classificado"
"Saulo Pedroso";"SAULO PEDROSO";"PSD";"SP";"deputado";"centro"
"Sergio Souza";"SERGIO SOUZA";"MDB";"PR";"deputado";"centro"
"Sidney Leite";"SIDNEY LEITE";"PSD";"AM";"deputado";"centro"
"Silas Câmara";"SILAS CAMARA";"REPUBLICANOS";"AM";"deputado";NA
"Silvia Cristina";"SILVIA CRISTINA";"PP";"RO";"deputado";"centro-direita"
"Silvia Waiãpi";"SILVIA WAIAPI";"PL";"AP";"deputado";"direita"
"Silvye Alves";"SILVYE ALVES";"UNIÃO";"GO";"deputado";NA
"Simone Marquetto";"SIMONE MARQUETTO";"MDB";"SP";"deputado";"centro"
"Socorro Neri";"SOCORRO NERI";"PP";"AC";"deputado";"centro-direita"
"Sonize Barbosa";"SONIZE BARBOSA";"PL";"AP";"deputado";"direita"
"Soraya Santos";"SORAYA SANTOS";"PL";"RJ";"deputado";"direita"
"Sóstenes Cavalcante";"SOSTENES CAVALCANTE";"PL";"RJ";"deputado";"direita"
"Stefano Aguiar";"STEFANO AGUIAR";"PSD";"MG";"deputado";"centro"
"Tabata Amaral";"TABATA AMARAL";"PSB";"SP";"deputado";"centro-esquerda"
"Tadeu Veneri";"TADEU VENERI";"PT";"PR";"deputado";"esquerda"
"Talíria Petrone";"TALIRIA PETRONE";"PSOL";"RJ";"deputado";"esquerda"
"Tarcísio Motta";"TARCISIO MOTTA";"PSOL";"RJ";"deputado";"esquerda"
"Thiago De Joaldo";"THIAGO JOALDO";"PP";"SE";"deputado";"centro-direita"
"Thiago Flores";"THIAGO FLORES";"REPUBLICANOS";"RO";"deputado";NA
"Tião Medeiros";"TIAO MEDEIROS";"PP";"PR";"deputado";"centro-direita"
"Tiririca";"TIRIRICA";"PL";"SP";"deputado";"direita"
"Toninho Wandscheer";"TONINHO WANDSCHEER";"PP";"PR";"deputado";"centro-direita"
"Túlio Gadêlha";"TULIO GADELHA";"REDE";"PE";"deputado";"centro-esquerda"
"Valmir Assunção";"VALMIR ASSUNCAO";"PT";"BA";"deputado";"esquerda"
"Vander Loubet";"VANDER LOUBET";"PT";"MS";"deputado";"esquerda"
"Vermelho";"VERMELHO";"PL";"PR";"deputado";"direita"
"Vicentinho";"VICENTINHO";"PT";"SP";"deputado";"esquerda"
"Vicentinho Júnior";"VICENTINHO";"PP";"TO";"deputado";"centro-direita"
"Vinicius Carvalho";"VINICIUS CARVALHO";"REPUBLICANOS";"SP";"deputado";NA
"Vinicius Gurgel";"VINICIUS GURGEL";"PL";"AP";"deputado";"direita"
"Vitor Lippi";"VITOR LIPPI";"PSDB";"SP";"deputado";"centro"
"Waldemar Oliveira";"WALDEMAR OLIVEIRA";"AVANTE";"PE";"deputado";NA
"Waldenor Pereira";"WALDENOR PEREIRA";"PT";"BA";"deputado";"esquerda"
"Weliton Prado";"WELITON PRADO";"SOLIDARIEDADE";"MG";"deputado";NA
"Wellington Roberto";"WELLINGTON ROBERTO";"PL";"PB";"deputado";"direita"
"Welter";"WELTER";"PT";"PR";"deputado";"esquerda"
"Wilson Santiago";"WILSON SANTIAGO";"REPUBLICANOS";"PB";"deputado";NA
"Yandra Moura";"YANDRA MOURA";"UNIÃO";"SE";"deputado";NA
"Yury Do Paredão";"YURY PAREDAO";"MDB";"CE";"deputado";"centro"
"Zé Adriano";"ZE ADRIANO";"PP";"AC";"deputado";"centro-direita"
"Zé Haroldo Cathedral";"ZE HAROLDO CATHEDRAL";"PSD";"RR";"deputado";"centro"
"Zé Neto";"ZE NETO";"PT";"BA";"deputado";"esquerda"
"Zé Silva";"ZE SILVA";"SOLIDARIEDADE";"MG";"deputado";NA
"Zé Trovão";"ZE TROVAO";"PL";"SC";"deputado";"direita"
"Zé Vitor";"ZE VITOR";"PL";"MG";"deputado";"direita"
"Zeca Dirceu";"ZECA DIRCEU";"PT";"PR";"deputado";"esquerda"
"Zezinho Barbary";"ZEZINHO BARBARY";"PP";"AC";"deputado";"centro-direita"
"Zucco";"ZUCCO";"PL";"RS";"deputado";"direita"
"Alan Rick";"ALAN RICK";"UNIÃO";"AC";"senador";NA
"Alessandro Vieira";"ALESSANDRO VIEIRA";"MDB";"SE";"senador";"centro"
"Ana Paula Lobato";"ANA PAULA LOBATO";"PDT";"MA";"senador";"centro-esquerda"
"Angelo Coronel";"ANGELO";"PSD";"BA";"senador";"centro"
"Astronauta Marcos Pontes";"MARCOS PONTES";"PL";"SP";"senador";"direita"
"Augusta Brito";"AUGUSTA BRITO";"PT";"CE";"senador";"esquerda"
"Beto Faro";"BETO FARO";"PT";"PA";"senador";"esquerda"
"Carlos Portinho";"CARLOS PORTINHO";"PL";"RJ";"senador";"direita"
"Carlos Viana";"CARLOS VIANA";"PODEMOS";"MG";"senador";NA
"Chico Rodrigues";"CHICO RODRIGUES";"PSB";"RR";"senador";"centro-esquerda"
"Cid Gomes";"CID GOMES";"PSB";"CE";"senador";"centro-esquerda"
"Ciro Nogueira";"CIRO NOGUEIRA";"PP";"PI";"senador";"centro-direita"
"Cleitinho";"CLEITINHO";"REPUBLICANOS";"MG";"senador";NA
"Confucio Moura";"CONFUCIO MOURA";"MDB";"RO";"senador";"centro"
"Damares Alves";"DAMARES ALVES";"REPUBLICANOS";"DF";"senador";NA
"Daniella Ribeiro";"DANIELLA RIBEIRO";"PSD";"PB";"senador";"centro"
"Davi Alcolumbre";"DAVI ALCOLUMBRE";"UNIÃO";"AP";"senador";NA
"Dr. Hiran";"HIRAN";"PP";"RR";"senador";"centro-direita"
"Dra. Eudocia";"EUDOCIA";"PL";"AL";"senador";"direita"
"Eduardo Braga";"EDUARDO BRAGA";"MDB";"AM";"senador";"centro"
"Eduardo Girão";"EDUARDO GIRAO";"NOVO";"CE";"senador";"direita"
"Eduardo Gomes";"EDUARDO GOMES";"PL";"TO";"senador";"direita"
"Efraim Filho";"EFRAIM FILHO";"UNIÃO";"PB";"senador";NA
"Eliziane Gama";"ELIZIANE GAMA";"PSD";"MA";"senador";"centro"
"Esperidião Amin";"ESPERIDIAO AMIN";"PP";"SC";"senador";"centro-direita"
"Fabiano Contarato";"FABIANO CONTARATO";"PT";"ES";"senador";"esquerda"
"Fernando Dueire";"FERNANDO DUEIRE";"MDB";"PE";"senador";"centro"
"Fernando Farias";"FERNANDO FARIAS";"MDB";"AL";"senador";"centro"
"Flávio Arns";"FLAVIO ARNS";"PSB";"PR";"senador";"centro-esquerda"
"Flávio Bolsonaro";"FLAVIO BOLSONARO";"PL";"RJ";"senador";"direita"
"Giordano";"GIORDANO";"MDB";"SP";"senador";"centro"
"Hamilton Mourão";"HAMILTON MOURAO";"REPUBLICANOS";"RS";"senador";NA
"Humberto Costa";"HUMBERTO COSTA";"PT";"PE";"senador";"esquerda"
"Irajá";"IRAJA";"PSD";"TO";"senador";"centro"
"Ivete Da Silveira";"IVETE SILVEIRA";"MDB";"SC";"senador";"centro"
"Izalci Lucas";"IZALCI LUCAS";"PL";"DF";"senador";"direita"
"Jader Barbalho";"JADER BARBALHO";"MDB";"PA";"senador";"centro"
"Jaime Bagattoli";"JAIME BAGATTOLI";"PL";"RO";"senador";"direita"
"Jaques Wagner";"JAQUES WAGNER";"PT";"BA";"senador";"esquerda"
"Jayme Campos";"JAYME CAMPOS";"UNIÃO";"MT";"senador";NA
"Jorge Kajuru";"JORGE KAJURU";"PSB";"GO";"senador";"centro-esquerda"
"Jorge Seif";"JORGE SEIF";"PL";"SC";"senador";"direita"
"Jussara Lima";"JUSSARA LIMA";"PSD";"PI";"senador";"centro"
"Laércio Oliveira";"LAERCIO OLIVEIRA";"PP";"SE";"senador";"centro-direita"
"Leila Barros";"LEILA BARROS";"PDT";"DF";"senador";"centro-esquerda"
"Lucas Barreto";"LUCAS BARRETO";"PSD";"AP";"senador";"centro"
"Luis Carlos Heinze";"LUIS CARLOS HEINZE";"PP";"RS";"senador";"centro-direita"
"Magno Malta";"MAGNO MALTA";"PL";"ES";"senador";"direita"
"Mara Gabrilli";"MARA GABRILLI";"PSD";"SP";"senador";"centro"
"Marcelo Castro";"MARCELO CASTRO";"MDB";"PI";"senador";"centro"
"Marcio Bittar";"MARCIO BITTAR";"UNIÃO";"AC";"senador";NA
"Marcos Do Val";"MARCOS VAL";"PODEMOS";"ES";"senador";NA
"Marcos Rogério";"MARCOS ROGERIO";"PL";"RO";"senador";"direita"
"Margareth Buzetti";"MARGARETH BUZETTI";"PSD";"MT";"senador";"centro"
"Mecias De Jesus";"MECIAS JESUS";"REPUBLICANOS";"RR";"senador";NA
"Nelsinho Trad Filho";"NELSINHO TRAD FILHO";"PSD";"MS";"senador";"centro"
"Omar Aziz";"OMAR AZIZ";"PSD";"AM";"senador";"centro"
"Oriovisto Guimarães";"ORIOVISTO GUIMARAES";"PODEMOS";"PR";"senador";NA
"Otto Alencar";"OTTO ALENCAR";"PSD";"BA";"senador";"centro"
"Paulo Paim";"PAULO PAIM";"PT";"RS";"senador";"esquerda"
"Plínio Valério";"PLINIO VALERIO";"PSDB";"AM";"senador";"centro"
"Professora Dorinha Seabra";"DORINHA SEABRA";"UNIÃO";"TO";"senador";NA
"Randolfe Rodrigues";"RANDOLFE RODRIGUES";"PT";"AP";"senador";"esquerda"
"Renan Calheiros";"RENAN CALHEIROS";"MDB";"AL";"senador";"centro"
"Rodrigo Pacheco";"RODRIGO PACHECO";"PSD";"MG";"senador";"centro"
"Rogério Carvalho";"ROGERIO CARVALHO";"PT";"SE";"senador";"esquerda"
"Rogerio Marinho";"ROGERIO MARINHO";"PL";"RN";"senador";"direita"
"Romário";"ROMARIO";"PL";"RJ";"senador";"direita"
"Sergio Moro";"SERGIO MORO";"UNIÃO";"PR";"senador";NA
"Sérgio Petecão";"SERGIO PETECAO";"PSD";"AC";"senador";"centro"
"Soraya Thronicke";"SORAYA THRONICKE";"PODEMOS";"MS";"senador";NA
"Styvenson Valentim";"STYVENSON VALENTIM";"PODEMOS";"RN";"senador";NA
"Teresa Leitão";"TERESA LEITAO";"PT";"PE";"senador";"esquerda"
"Tereza Cristina";"TEREZA CRISTINA";"PP";"MS";"senador";"centro-direita"
"Vanderlan Cardoso";"VANDERLAN CARDOSO";"PSD";"GO";"senador";"centro"
"Veneziano Vital Do Rêgo";"VENEZIANO VITAL REGO";"MDB";"PB";"senador";"centro"
"Wellington Fagundes";"WELLINGTON FAGUNDES";"PL";"MT";"senador";"direita"
"Weverton";"WEVERTON";"PDT";"MA";"senador";"centro-esquerda"
"Wilder Morais";"WILDER MORAIS";"PL";"GO";"senador";"direita"
"Zenaide Maia";"ZENAIDE MAIA";"PSD";"RN";"senador";"centro"
"Zequinha Marinho";"ZEQUINHA MARINHO";"PODEMOS";"PA";"senador";NA
