"nome";"nome_sanitizado";"partido";"uf";"tipo";"espectro"
"Carlos Chiodini";"CARLOS CHIODINI";"MDB";"SC";"deputado";"centro"
"Carlos Henrique Gaguim";"CARLOS HENRIQUE GAGUIM";"UNIÃO";"TO";"deputado";NA
"Carlos Jordy";"CARLOS JORDY";"PL";"RJ";"deputado";"direita"
"Carlos Sampaio";"CARLOS SAMPAIO";"PSD";"SP";"deputado";"centro"
"Carlos Veras";"CARLOS VERAS";"PT";"PE";"deputado";"esquerda"
"Carlos Zarattini";"CARLOS ZARATTINI";"PT";"SP";"deputado";"esquerda"
"Carol Dartora";"CAROL DARTORA";"PT";"PR";"deputado";"esquerda"
"Caroline De Toni";"CAROLINE TONI";"PL";"SC";"deputado";"direita"
"Castro Neto";"CASTRO NETO";"PSD";"PI";"deputado";"centro"
"Célia Xakriabá";"CELIA XAKRIABA";"PSOL";"MG";"deputado";"esquerda"
"Célio Silveira";"CELIO SILVEIRA";"MDB";"GO";"deputado";"centro"
"Célio Studart";"CELIO STUDART";"PSD";"CE";"deputado";"centro"
"Celso Russomanno";"CELSO RUSSOMANNO";"REPUBLICANOS";"SP";"deputado";NA
"Cezinha De Madureira";"CEZINHA MADUREIRA";"PSD";"SP";"deputado";"centro"
"Charles Fernandes";"CHARLES FERNANDES";"PSD";"BA";"deputado";"centro"
"Chico Alencar";"CHICO ALENCAR";"PSOL";"RJ";"deputado";"esquerda"
"Chiquinho Brazão";"CHIQUINHO BRAZAO";"S.PART.";"RJ";"deputado";NA
"Chris Tonietto";"CHRIS TONIETTO";"PL";"RJ";"deputado";"direita"
"Clarissa Tércio";"CLARISSA TERCIO";"PP";"PE";"deputado";"centro-direita"
"Claudio Cajado";"CLAUDIO CAJADO";"PP";"BA";"deputado";"centro-direita"
"Cleber Verde";"CLEBER VERDE";"MDB";"MA";"deputado";"centro"
"Clodoaldo Magalhães";"CLODOALDO MAGALHAES";"PV";"PE";"deputado";"centro-esquerda"
"Cobalchini";"COBALCHINI";"MDB";"SC";"deputado";"centro"
"Coronel Assis";"ASSIS";"UNIÃO";"MT";"deputado";NA
"Coronel Chrisóstomo";"CHRISOSTOMO";"PL";"RO";"deputado";"direita"
"Coronel Fernanda";"FERNANDA";"PL";"MT";"deputado";"direita"
"Coronel Meira";"MEIRA";"PL";"PE";"deputado";"direita"
"Coronel Ulysses";"ULYSSES";"UNIÃO";"AC";"deputado";NA
"Covatti Filho";"COVATTI FILHO";"PP";"RS";"deputado";"centro-direita"
"Cristiane Lopes";"CRISTIANE LOPES";"UNIÃO";"RO";"deputado";NA
"Da Vitoria";"VITORIA";"PP";"ES";"deputado";"centro-direita"
"Dagoberto Nogueira";"DAGOBERTO NOGUEIRA";"PSDB";"MS";"deputado";"centro"
"Daiana Santos";"DAIANA SANTOS";"PCdoB";"RS";"deputado";"esquerda"
"Dal Barreto";"DAL BARRETO";"UNIÃO";"BA";"deputado";NA
"Damião Feliciano";"DAMIAO FELICIANO";"UNIÃO";"PB";"deputado";NA
"Dandara";"DANDARA";"PT";"MG";"deputado";"esquerda"
"Dani Cunha";"DANI CUNHA";"UNIÃO";"RJ";"deputado";NA
"Daniel Agrobom";"DANIEL AGROBOM";"PL";"GO";"deputado";"direita"
"Daniel Almeida";"DANIEL ALMEIDA";"PCdoB";"BA";"deputado";"esquerda"
"Daniel Barbosa";"DANIEL BARBOSA";"PP";"AL";"deputado";"centro-direita"
"Daniel Freitas";"DANIEL FREITAS";"PL";"SC";"deputado";"direita"
"Daniel Trzeciak";"DANIEL TRZECIAK";"PSDB";"RS";"deputado";"centro"
"Daniela Do Waguinho";"DANIELA WAGUINHO";"UNIÃO";"RJ";"deputado";NA
"Daniela Reinehr";"DANIELA REINEHR";"PL";"SC";"deputado";"direita"
"Danilo Forte";"DANILO FORTE";"UNIÃO";"CE";"deputado";NA
"Danrlei De Deus Hinterholz";"DANRLEI DEUS HINTERHOLZ";"PSD";"RS";"deputado";"centro"
"David Soares";"DAVID SOARES";"UNIÃO";"SP";"deputado";NA
"Dayany Bittencourt";"DAYANY BITTENCOURT";"UNIÃO";"CE";"deputado";NA
"Defensor Stélio Dener";"DEFENSOR STELIO DENER";"REPUBLICANOS";"RR";"deputado";NA
"Delegada Adriana Accorsi";"ADRIANA ACCORSI";"PT";"GO";"deputado";"esquerda"
"Delegada Ione";"IONE";"AVANTE";"MG";"deputado";NA
"Delegada Katarina";"KATARINA";"PSD";"SE";"deputado";"centro"
"Delegado Bruno Lima";"BRUNO LIMA";"PP";"SP";"deputado";"centro-direita"
"Delegado Caveira";"CAVEIRA";"PL";"PA";"deputado";"direita"
"Delegado Da Cunha";"CUNHA";"PP";"SP";"deputado";"centro-direita"
"Delegado Éder Mauro";"EDER MAURO";"PL";"PA";"deputado";"direita"
"Delegado Fabio Costa";"FABIO COSTA";"PP";"AL";"deputado";"centro-direita"
"Delegado Marcelo Freitas";"MARCELO FREITAS";"UNIÃO";"MG";"deputado";NA
"Delegado Matheus Laiola";"MATHEUS LAIOLA";"UNIÃO";"PR";"deputado";NA
"Delegado Palumbo";"PALUMBO";"MDB";"SP";"deputado";"centro"
"Delegado Paulo Bilynskyj";"PAULO BILYNSKYJ";"PL";"SP";"deputado";"direita"
"Delegado Ramagem";"RAMAGEM";"PL";"RJ";"deputado";"direita"
"Denise Pessôa";"DENISE PESSOA";"PT";"RS";"deputado";"esquerda"
"Detinha";"DETINHA";"PL";"MA";"deputado";"direita"
"Diego Andrade";"DIEGO ANDRADE";"PSD";"MG";"deputado";"centro"
"Diego Coronel";"DIEGO";"PSD";"BA";"deputado";"centro"
"Diego Garcia";"DIEGO GARCIA";"REPUBLICANOS";"PR";"deputado";NA
"Dilceu Sperafico";"DILCEU SPERAFICO";"PP";"PR";"deputado";"centro-direita"
"Dilvanda Faro";"DILVANDA FARO";"PT";"PA";"deputado";"esquerda"
"Dimas Fabiano";"DIMAS FABIANO";"PP";"MG";"deputado";"centro-direita"
"Dimas Gadelha";"DIMAS GADELHA";"PT";"RJ";"deputado";"esquerda"
"Domingos Neto";"DOMINGOS NETO";"PSD";"CE";"deputado";"centro"
"Domingos Sávio";"DOMINGOS SAVIO";"PL";"MG";"deputado";"direita"
"Dorinaldo Malafaia";"DORINALDO MALAFAIA";"PDT";"AP";"deputado";"centro-esquerda"
"Doutor Luizinho";"LUIZINHO";"PP";"RJ";"deputado";"centro-direita"
"Dr. Fernando Máximo";"FERNANDO MAXIMO";"UNIÃO";"RO";"deputado";NA
"Dr. Francisco";"FRANCISCO";"PT";"PI";"deputado";"esquerda"
"Dr. Frederico";"FREDERICO";"PRD";"MG";"deputado";NA
"Dr. Jaziel";"JAZIEL";"PL";"CE";"deputado";"direita"
"Dr. Luiz Ovando";"LUIZ OVANDO";"PP";"MS";"deputado";"centro-direita"
"Dr. Victor Linhalis";"VICTOR LINHALIS";"PODE";"ES";"deputado";"não classificado"
"Dr. Zacharias Calil";"ZACHARIAS CALIL";"UNIÃO";"GO";"deputado";NA
"Dra. Alessandra Haber";"ALESSANDRA HABER";"MDB";"PA";"deputado";"centro"
"Dra. Mayra Pinheiro";"MAYRA PINHEIRO";"PL";"CE";"deputado";"direita"
"Duarte Jr.";"DUARTE";"PSB";"MA";"deputado";"centro-esquerda"
"Duda Ramos";"DUDA RAMOS";"MDB";"RR";"deputado";"centro"
"Duda Salabert";"DUDA SALABERT";"PDT";"MG";"deputado";"centro-esquerda"
"Eduardo Bolsonaro";"EDUARDO BOLSONARO";"PL";"SP";"deputado";"direita"
"Eduardo Da Fonte";"EDUARDO FONTE";"PP";"PE";"deputado";"centro-direita"
"Eduardo Velloso";"EDUARDO VELLOSO";"UNIÃO";"AC";"deputado";NA
"Elcione Barbalho";"ELCIONE BARBALHO";"MDB";"PA";"deputado";"centro"
"Eli Borges";"ELI BORGES";"PL";"TO";"deputado";"direita"
"Elmar Nascimento";"ELMAR NASCIMENTO";"UNIÃO";"BA";"deputado";NA
"Ely Santos";"ELY SANTOS";"REPUBLICANOS";"SP";"deputado";NA
"Emanuel Pinheiro Neto";"EMANUEL PINHEIRO NETO";"MDB";"MT";"deputado";"centro"
"Emidinho Madeira";"EMIDINHO MADEIRA";"PL";"MG";"deputado";"direita"
"Enfermeira Ana Paula";"ENFERMEIRA ANA PAULA";"PDT";"CE";"deputado";"centro-esquerda"
"Enfermeira Rejane";"ENFERMEIRA REJANE";"PCdoB";"RJ";"deputado";"esquerda"
"Eriberto Medeiros";"ERIBERTO MEDEIROS";"PSB";"PE";"deputado";"centro-esquerda"
"Erika Hilton";"ERIKA HILTON";"PSOL";"SP";"deputado";"esquerda"
"Erika Kokay";"ERIKA KOKAY";"PT";"DF";"deputado";"esquerda"
"Eros Biondini";"EROS BIONDINI";"PL";"MG";"deputado";"direita"
"Euclydes Pettersen";"EUCLYDES PETTERSEN";"REPUBLICANOS";"MG";"deputado";NA
"Eunício Oliveira";"EUNICIO OLIVEIRA";"MDB";"CE";"deputado";"centro"
"Evair Vieira De Melo";"EVAIR VIEIRA MELO";"PP";"ES";"deputado";"centro-direita"
"Fábio Macedo";"FABIO MACEDO";"PODE";"MA";"deputado";"não classificado"
"Fabio Schiochet";"FABIO SCHIOCHET";"UNIÃO";"SC";"deputado";NA
"Fábio Teruel";"FABIO TERUEL";"MDB";"SP";"deputado";"centro"
"Fausto Pinato";"FAUSTO PINATO";"PP";"SP";"deputado";"centro-direita"
"Fausto Santos Jr.";"FAUSTO SANTOS";"UNIÃO";"AM";"deputado";NA
"Felipe Becari";"FELIPE BECARI";"UNIÃO";"SP";"deputado";NA
"Felipe Carreras";"FELIPE CARRERAS";"PSB";"PE";"deputado";"centro-esquerda"
"Felipe Francischini";"FELIPE FRANCISCHINI";"UNIÃO";"PR";"deputado";NA
"Félix Mendonça Júnior";"FELIX MENDONCA";"PDT";"BA";"deputado";"centro-esquerda"
"Fernanda Melchionna";"FERNANDA MELCHIONNA";"PSOL";"RS";"deputado";"esquerda"
"Fernanda Pessoa";"FERNANDA PESSOA";"UNIÃO";"CE";"deputado";NA
"Fernando Coelho Filho";"FERNANDO COELHO FILHO";"UNIÃO";"PE";"deputado";NA
"Fernando Mineiro";"FERNANDO MINEIRO";"PT";"RN";"deputado";"esquerda"
"Fernando Monteiro";"FERNANDO MONTEIRO";"PP";"PE";"deputado";"centro-direita"
"Fernando Rodolfo";"FERNANDO RODOLFO";"PL";"PE";"deputado";"direita"
"Filipe Barros";"FILIPE BARROS";"PL";"PR";"deputado";"direita"
"Filipe Martins";"FILIPE MARTINS";"PL";"TO";"deputado";"direita"
"Flávia Morais";"FLAVIA MORAIS";"PDT";"GO";"deputado";"centro-esquerda"
"Flávio Nogueira";"FLAVIO NOGUEIRA";"PT";"PI";"deputado";"esquerda"
"Florentino Neto";"FLORENTINO NETO";"PT";"PI";"deputado";"esquerda"
"Franciane Bayer";"FRANCIANE BAYER";"REPUBLICANOS";"RS";"deputado";NA
"Fred Costa";"FRED COSTA";"PRD";"MG";"deputado";NA
"Fred Linhares";"FRED LINHARES";"REPUBLICANOS";"DF";"deputado";NA
"Gabriel Mota";"GABRIEL MOTA";"REPUBLICANOS";"RR";"deputado";NA
"Gabriel Nunes";"GABRIEL NUNES";"PSD";"BA";"deputado";"centro"
"General Girão";"GIRAO";"PL";"RN";"deputado";"direita"
"General Pazuello";"PAZUELLO";"PL";"RJ";"deputado";"direita"
"Geovania De Sá";"GEOVANIA SA";"PSDB";"SC";"deputado";"centro"
"Geraldo Mendes";"GERALDO MENDES";"UNIÃO";"PR";"deputado";NA
"Geraldo Resende";"GERALDO RESENDE";"PSDB";"MS";"deputado";"centro"
"Gervásio Maia";"GERVASIO MAIA";"PSB";"PB";"deputado";"centro-esquerda"
"Giacobo";"GIACOBO";"PL";"PR";"deputado";"direita"
"Gilberto Abramo";"GILBERTO ABRAMO";"REPUBLICANOS";"MG";"deputado";NA
"Gilberto Nascimento";"GILBERTO NASCIMENTO";"PSD";"SP";"deputado";"centro"
"Gilson Daniel";"GILSON DANIEL";"PODE";"ES";"deputado";"não classificado"
"Gilson Marques";"GILSON MARQUES";"NOVO";"SC";"deputado";"direita"
"Gilvan Da Federal";"GILVAN FEDERAL";"PL";"ES";"deputado";"direita"
"Gilvan Maximo";"GILVAN MAXIMO";"REPUBLICANOS";"DF";"deputado";NA
"Giovani Cherini";"GIOVANI CHERINI";"PL";"RS";"deputado";"direita"
"Gisela Simona";"GISELA SIMONA";"UNIÃO";"MT";"deputado";NA
"Glauber Braga";"GLAUBER BRAGA";"PSOL";"RJ";"deputado";"esquerda"
"Glaustin Da Fokus";"GLAUSTIN FOKUS";"PODE";"GO";"deputado";"não classificado"
"Gleisi Hoffmann";"GLEISI HOFFMANN";"PT";"PR";"deputado";"esquerda"
"Greyce Elias";"GREYCE ELIAS";"AVANTE";"MG";"deputado";NA
"Guilherme Boulos";"GUILHERME BOULOS";"PSOL";"SP";"deputado";"esquerda"
"Guilherme Uchoa";"GUILHERME UCHOA";"PSB";"PE";"deputado";"centro-esquerda"
"Gustavo Gayer";"GUSTAVO GAYER";"PL";"GO";"deputado";"direita"
"Gustinho Ribeiro";"GUSTINHO RIBEIRO";"REPUBLICANOS";"SE";"deputado";NA
"Gutemberg Reis";"GUTEMBERG REIS";"MDB";"RJ";"deputado";"centro"
"Heitor Schuch";"HEITOR SCHUCH";"PSB";"RS";"deputado";"centro-esquerda"
"Helder Salomão";"HELDER SALOMAO";"PT";"ES";"deputado";"esquerda"
"Helena Lima";"HELENA LIMA";"MDB";"RR";"deputado";"centro"
"Helio Lopes";"HELIO LOPES";"PL";"RJ";"deputado";"direita"
"Henderson Pinto";"HENDERSON PINTO";"MDB";"PA";"deputado";"centro"
"Hercílio Coelho Diniz";"HERCILIO COELHO DINIZ";"MDB";"MG";"deputado";"centro"
"Hugo Leal";"HUGO LEAL";"PSD";"RJ";"deputado";"centro"
"Hugo Motta";"HUGO MOTTA";"REPUBLICANOS";"PB";"deputado";NA
"Icaro De Valmir";"ICARO VALMIR";"PL";"SE";"deputado";"direita"
"Igor Timo";"IGOR TIMO";"PSD";"MG";"deputado";"centro"
"Ismael";"ISMAEL";"PSD";"SC";"deputado";"centro"
"Ismael Alexandrino";"ISMAEL ALEXANDRINO";"PSD";"GO";"deputado";"centro"
"Isnaldo Bulhões Jr.";"ISNALDO BULHOES";"MDB";"AL";"deputado";"centro"
"Ivan Junior";"IVAN";"UNIÃO";"MA";"deputado";NA
"Ivan Valente";"IVAN VALENTE";"PSOL";"SP";"deputado";"esquerda"
"Ivoneide Caetano";"IVONEIDE CAETANO";"PT";"BA";"deputado";"esquerda"
"Iza Arruda";"IZA ARRUDA";"MDB";"PE";"deputado";"centro"
"Jack Rocha";"JACK ROCHA";"PT";"ES";"deputado";"esquerda"
"Jadyel Alencar";"JADYEL ALENCAR";"REPUBLICANOS";"PI";"deputado";NA
"Jandira Feghali";"JANDIRA FEGHALI";"PCdoB";"RJ";"deputado";"esquerda"
"Jeferson Rodrigues";"JEFERSON RODRIGUES";"REPUBLICANOS";"GO";"deputado";NA
"Jefferson Campos";"JEFFERSON CAMPOS";"PL";"SP";"deputado";"direita"
"Jilmar Tatto";"JILMAR TATTO";"PT";"SP";"deputado";"esquerda"
"João Carlos Bacelar";"JOAO CARLOS BACELAR";"PL";"BA";"deputado";"direita"
"João Cury";"JOAO CURY";"MDB";"SP";"deputado";"centro"
"João Daniel";"JOAO DANIEL";"PT";"SE";"deputado";"esquerda"
"João Leão";"JOAO LEAO";"PP";"BA";"deputado";"centro-direita"
"João Maia";"JOAO MAIA";"PP";"RN";"deputado";"centro-direita"
"Joaquim Passarinho";"JOAQUIM PASSARINHO";"PL";"PA";"deputado";"direita"
"Jonas Donizette";"JONAS DONIZETTE";"PSB";"SP";"deputado";"centro-esquerda"
"Jorge Braz";"JORGE BRAZ";"REPUBLICANOS";"RJ";"deputado";NA
"Jorge Goetten";"JORGE GOETTEN";"REPUBLICANOS";"SC";"deputado";NA
"Jorge Solla";"JORGE SOLLA";"PT";"BA";"deputado";"esquerda"
"José Airton Félix Cirilo";"JOSE AIRTON FELIX CIRILO";"PT";"CE";"deputado";"esquerda"
"José Guimarães";"JOSE GUIMARAES";"PT";"CE";"deputado";"esquerda"
"José Medeiros";"JOSE MEDEIROS";"PL";"MT";"deputado";"direita"
"José Nelto";"JOSE NELTO";"UNIÃO";"GO";"deputado";NA
"José Priante";"JOSE PRIANTE";"MDB";"PA";"deputado";"centro"
"José Rocha";"JOSE ROCHA";"UNIÃO";"BA";"deputado";NA
"Joseildo Ramos";"JOSEILDO RAMOS";"PT";"BA";"deputado";"esquerda"
"Josenildo";"JOSENILDO";"PDT";"AP";"deputado";"centro-esquerda"
"Josias Gomes";"JOSIAS GOMES";"PT";"BA";"deputado";"esquerda"
"Josimar Maranhãozinho";"JOSIMAR MARANHAOZINHO";"PL";"MA";"deputado";"direita"
"Josivaldo Jp";"JOSIVALDO JP";"PSD";"MA";"deputado";"centro"
"Juarez Costa";"JUAREZ COSTA";"MDB";"MT";"deputado";"centro"
"Julia Zanatta";"JULIA ZANATTA";"PL";"SC";"deputado";"direita"
"Juliana Cardoso";"JULIANA CARDOSO";"PT";"SP";"deputado";"esquerda"
"Julio Arcoverde";"JULIO ARCOVERDE";"PP";"PI";"deputado";"centro-direita"
"Júlio Cesar";"JULIO CESAR";"PSD";"PI";"deputado";"centro"
"Julio Cesar Ribeiro";"JULIO CESAR RIBEIRO";"REPUBLICANOS";"DF";"deputado";NA
"Julio Lopes";"JULIO LOPES";"PP";"RJ";"deputado";"centro-direita"
"Juninho Do Pneu";"JUNINHO PNEU";"UNIÃO";"RJ";"deputado";NA
"Junio Amaral";"JUNIO AMARAL";"PL";"MG";"deputado";"direita"
"Júnior Ferrari";"FERRARI";"PSD";"PA";"deputado";"centro"
"Junior Lourenço";"LOURENCO";"PL";"MA";"deputado";"direita"
"Keniston Braga";"KENISTON BRAGA";"MDB";"PA";"deputado";"centro"
"Kiko Celeguim";"KIKO CELEGUIM";"PT";"SP";"deputado";"esquerda"
"Kim Kataguiri";"KIM KATAGUIRI";"UNIÃO";"SP";"deputado";NA
"Lafayette De Andrada";"LAFAYETTE ANDRADA";"REPUBLICANOS";"MG";"deputado";NA
"Laura Carneiro";"LAURA CARNEIRO";"PSD";"RJ";"deputado";"centro"
"Lázaro Botelho";"LAZARO BOTELHO";"PP";"TO";"deputado";"centro-direita"
"Lebrão";"LEBRAO";"UNIÃO";"RO";"deputado";NA
"Lêda Borges";"LEDA BORGES";"PSDB";"GO";"deputado";"centro"
"Leo Prates";"LEO PRATES";"PDT";"BA";"deputado";"centro-esquerda"
"Leonardo Monteiro";"LEONARDO MONTEIRO";"PT";"MG";"deputado";"esquerda"
"Leônidas Cristino";"LEONIDAS CRISTINO";"PDT";"CE";"deputado";"centro-esquerda"
"Leur Lomanto Júnior";"LEUR LOMANTO";"UNIÃO";"BA";"deputado";NA
"Lídice Da Mata";"LIDICE MATA";"PSB";"BA";"deputado";"centro-esquerda"
"Lincoln Portela";"LINCOLN PORTELA";"PL";"MG";"deputado";"direita"
"Lindbergh Farias";"LINDBERGH FARIAS";"PT";"RJ";"deputado";"esquerda"
"Lucas Ramos";"LUCAS RAMOS";"PSB";"PE";"deputado";"centro-esquerda"
"Lucas Redecker";"LUCAS REDECKER";"PSDB";"RS";"deputado";"centro"
"Luciano Alves";"LUCIANO ALVES";"PSD";"PR";"deputado";"centro"
"Luciano Amaral";"LUCIANO AMARAL";"PV";"AL";"deputado";"centro-esquerda"
"Luciano Bivar";"LUCIANO BIVAR";"UNIÃO";"PE";"deputado";NA
"Luciano Ducci";"LUCIANO DUCCI";"PSB";"PR";"deputado";"centro-esquerda"
"Luciano Vieira";"LUCIANO VIEIRA";"REPUBLICANOS";"RJ";"deputado";NA
"Lucio Mosquini";"LUCIO MOSQUINI";"MDB";"RO";"deputado";"centro"
"Luis Carlos Gomes";"LUIS CARLOS GOMES";"REPUBLICANOS";"RJ";"deputado";NA
"Luis Tibé";"LUIS TIBE";"AVANTE";"MG";"deputado";NA
"Luisa Canziani";"LUISA CANZIANI";"PSD";"PR";"deputado";"centro"
